,POI,lat,long
662,restaurant,51.56120740000001,-0.2792516
663,restaurant,51.5557605,-0.2775525
664,restaurant,51.5599476,-0.2833947
665,restaurant,51.5526486,-0.2852568
666,restaurant,51.55340469999999,-0.2915282
667,restaurant,51.5539354,-0.2867816
668,restaurant,51.5538388,-0.2906009
669,restaurant,51.5569871,-0.2795411
670,restaurant,51.55682969999999,-0.2843487
671,restaurant,51.5567438,-0.2839129
672,restaurant,51.553433,-0.2918639
673,restaurant,51.55817949999999,-0.2806613
674,restaurant,51.556784,-0.284355
675,restaurant,51.5531626,-0.2863546000000001
676,restaurant,51.5573026,-0.2827025
677,restaurant,51.5530166,-0.2859973
678,restaurant,51.5603736,-0.2801862
679,restaurant,51.55338750000001,-0.2941002
680,groceries,51.5538947,-0.2868254
681,groceries,51.5550727,-0.2860314
682,groceries,51.5531847,-0.2886989
683,groceries,51.5590646,-0.2807827
684,groceries,51.5573306,-0.2817565
685,groceries,51.5547213,-0.2841289
686,groceries,51.5638799,-0.2783845
687,groceries,51.5537841,-0.2919192
688,groceries,51.5620657,-0.2817484
689,groceries,51.55954149999999,-0.2792437
690,groceries,51.5611989,-0.280999
691,groceries,51.5609602,-0.2792434
692,groceries,51.5535225,-0.2863433
693,church,51.56101899999999,-0.2880298
694,church,51.549293,-0.2780561
695,church,51.5549926,-0.2864851
696,church,51.5538386,-0.290601
697,church,51.5531252,-0.2873358
698,church,51.5620862,-0.2916189
699,church,51.5638691,-0.2763138
700,church,51.56095000000001,-0.27285
701,bus,51.5535509,-0.2941638
702,bus,51.55262,-0.28464
703,bus,51.55736899999999,-0.291461
704,bus,51.549885,-0.281321
705,bus,51.557911,-0.285425
706,bus,51.5536983,-0.2920564
707,bus,51.5536372,-0.2882213
708,bus,51.559402,-0.284575
709,bus,51.555592,-0.286074
710,bus,51.56004000000001,-0.290091
711,bus,51.56181420000001,-0.2832827
712,bus,51.55353419999999,-0.2918409
713,bus,51.5586485,-0.2831377
714,bus,51.561527,-0.286587
715,bus,51.5588,-0.290888
716,bus,51.55365,-0.288542
717,bus,51.5586673,-0.2777326
718,bus,51.5574198,-0.2874309
719,school,51.55232760000001,-0.2894279
720,school,51.5524557,-0.2878226
721,school,51.5618529,-0.2858505
722,school,51.5573,-0.2868501
723,school,51.5577972,-0.2844285
724,school,51.5485964,-0.2866944
725,school,51.558754,-0.2829663
726,school,51.5580661,-0.2850814
727,school,51.5613999,-0.2824999
728,school,51.562712,-0.2790904
729,school,51.5619873,-0.2843136
730,school,51.5557341,-0.2914337
731,hotel,51.55578449999999,-0.2840985
732,hotel,51.5574685,-0.2823056
733,hotel,51.5553027,-0.2850447
734,hotel,51.5597475,-0.2834055
735,hotel,51.5612796,-0.2791965
736,hotel,51.5554062,-0.2863583
737,hotel,51.5532792,-0.2852005
738,hotel,51.5576805,-0.2895559
739,hotel,51.5627925,-0.2809059
740,hotel,51.55349580000001,-0.2911941
741,hotel,51.5616192,-0.2843426
742,hotel,51.5557132,-0.2850507
743,hotel,51.5575999,-0.2841375
744,hotel,51.5578048,-0.287593
745,hotel,51.5523045,-0.2819045
746,hotel,51.5596791,-0.2787687
747,university,51.557239,-0.2795009
748,university,51.5619729,-0.280414
749,university,51.5615569,-0.2824223
750,university,51.5569745,-0.2869981
751,university,51.560401,-0.2830789
752,university,51.5619603,-0.2791754
753,university,51.5582983,-0.2752148
754,bar,51.55602469999999,-0.2796177
755,bar,51.55573,-0.2811208
756,bar,51.5574715,-0.2826251
757,bar,51.5618068,-0.2829388
758,bar,51.5568052,-0.27827
759,bar,51.5564688,-0.2814975
760,bar,51.5550331,-0.2860392
761,bar,51.5555828,-0.2782463
762,bar,51.5597395,-0.2834884
763,bar,51.5620553,-0.2819527
764,bar,51.55728329999999,-0.2826013
765,bar,51.55536799999999,-0.276149
766,bar,51.56125919999999,-0.2827086
767,bar,51.55325089999999,-0.2854245
768,cafe,51.5602807,-0.2798701
